Situação;Descrição;Código;Código NCM;CEST;Peso Líquido;Peso Bruto;Altura;Largura;Profundidade;Marca;Modelo;Prazo de calibração;Dias de Crossdocking;Cupom Fiscal (PDV);Marketplace;Tipo do Item (Bloco K);Características
Inativo;"CALIBRADOR DE ROSCA TAMPAO KINGTOOLS BSP 1"" - GO AND NO GO - 0,36 KG (PAT1374)";PAT1374;9017.30.90;;0;0,36;0;0;0;KINGTOOLS;GO AND NO GO;2;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 1"", Faixa de Medição: 11 FIOS - BSP, Inc. Total (inc.+erro) (mm): Ver FR.QLD.018, Erro Máximo Permissível (mm): Ver FR.QLD.018, Erro/ Desvio (mm): Ver FR.QLD.018, Incerteza da Medição (mm): Ver FR.QLD.018"
Inativo;"CALIBRADOR DE ROSCA TAMPAO KINGTOOLS BSP 1/2"" - GO AND NO GO - 0,15 KG (PAT1375)";PAT1375;9017.30.90;;0;0;0;0;0;;;2;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 1/2"", Faixa de Medição: 14 FIOS - BSP, Inc. Total (inc.+erro) (mm): Ver FR.QLD.018, Erro Máximo Permissível (mm): Ver FR.QLD.018, Erro/ Desvio (mm): Ver FR.QLD.018, Incerteza da Medição (mm): Ver FR.QLD.018"
Ativo;"MANILHA Q.FIX 3/4"" - 6,5 TON - 1,5KG (PAT1376)";PAT1376;7326.90.90;21.108.00;0;0;0;0;0;QUALITY FIX;MCA-019-PC;0;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 7/8"", Lacre: 1951567"
Ativo;"MANILHA Q.FIX 3/4"" - 6,5 TON - 1,5KG (PAT1377)";PAT1377;7326.90.90;;0;0;0;0;0;QUALITY FIX;MCA-019-PC;0;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 7/8"", Lacre: 1923533"
Ativo;"MANILHA Q.FIX 3/4"" - 6,5 TON - 1,5KG (PAT1378)";PAT1378;7326.90.90;;0;0;0;0;0;QUALITY FIX;MCA-019-PC;0;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 7/8"", Lacre: 1923568"
Ativo;"MANILHA Q.FIX 3/4"" - 6,5 TON - 1,5KG (PAT1379)";PAT1379;7326.90.90;;0;0;0;0;0;QUALITY FIX;MCA-019-PC;0;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 7/8"", Lacre: 1923588"
Ativo;"MANILHA Q.FIX 3/4"" - 7,8 TON - 1,5KG (PAT1380)";PAT1380;7326.90.90;;0;0;0;0;0;QUALITY FIX;MCA-019-PC;0;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 7/8"", Lacre: 1923566"
Ativo;"MANILHA Q.FIX 3/4"" - 6,5 TON - 1,5KG (PAT1381)";PAT1381;7326.90.90;;0;0;0;0;0;QUALITY FIX;MCA-019-PC;0;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 7/8"", Lacre: 1923593"
Ativo;MEDIDOR DE RIGIDEZ DIELÉTRICA HUAZHENG HZJQ-X1 - 80 KV (PAT1382);PAT1382;9030.89.90;21.120.00;0;0;0;0;0;HUAZHENG;HZJQ-X1;0;0;Não;Não;08 - Ativo Imobilizado;Voltagem: 230 V AC, Número de Série: HZ25202020623-30-2, Tipo: Elétrico, Faixa de Medição: 80 KV, Potência: 200 W, Inc. Total (inc.+erro) (mm): Ver FR.QLD.018, Erro Máximo Permissível (mm): Ver FR.QLD.018, Erro/ Desvio (mm): Ver FR.QLD.018, Incerteza da Medição (mm): Ver FR.QLD.018, Data da Última Calibração: 22/09/2025, Data da Próxima Calibração: 22/09/2026
Ativo;MEDIDOR DE RIGIDEZ DIELÉTRICA HUAZHENG HZJQ-X1 - 80 KV (PAT1383);PAT1383;9030.89.90;21.120.00;0;0;0;0;0;HUAZHENG;HZJQ-X1;0;0;Não;Não;08 - Ativo Imobilizado;Voltagem: 230 V AC, Número de Série: HZ25202020623-03-1, Tipo: Elétrico, Faixa de Medição: 80 KV, Potência: 200 W, Inc. Total (inc.+erro) (mm): Ver FR.QLD.018, Erro Máximo Permissível (mm): Ver FR.QLD.018, Erro/ Desvio (mm): Ver FR.QLD.018, Incerteza da Medição (mm): Ver FR.QLD.018, Data da Última Calibração: 22/09/2025, Data da Próxima Calibração: 22/09/2026
Ativo;TTR - HUAZHENG HZTTR80A - 80 V - 42 X 32 X 20CM - 11KG (PAT1384);PAT1384;9030.89.90;21.120.00;0;0;0;0;0;HUAZHENG;HZTTR80A;0;0;Não;Não;08 - Ativo Imobilizado;Voltagem: 80 V, Número de Série: HZ25202020623-03-3, Tipo: Elétrico, Potência: 0 a 2000mA, Inc. Total (inc.+erro) (mm): Ver FR.QLD.018, Erro Máximo Permissível (mm): Ver FR.QLD.018, Erro/ Desvio (mm): Ver FR.QLD.018, Incerteza da Medição (mm): Ver FR.QLD.018, Data da Última Calibração: 19/09/2025, Data da Próxima Calibração: 19/09/2026
Ativo;NOTEBOOK ACER ASPIRE 5 - N18Q13 16 GB RAM SSD 512 GB35,9 X 23 X 1,5CM-1,9 KG (PAT1385);PAT1385;8471.30.19;21.028.00;0;0;0;0;0;ACER;N18Q13;0;0;Não;Não;08 - Ativo Imobilizado;Polegada: 16 GB RAM SSD 512 GB
Ativo;NOTEBOOK ACER ASPIRE 5 - N18Q13 16 GB RAM SSD 512 GB  - 35,9 X 23 X 1,5CM-1,9 KG (PAT1386);PAT1386;8471.30.19;21.028.00;0;0;0;0;0;ACER;N18Q13;0;0;Não;Não;08 - Ativo Imobilizado;Polegada: 16 GB RAM SSD 512 GB
Ativo;CELULAR SAMSUNG GALAXY A05S 6GB|128GB  - 8,8 X 7,9 X 16,8CM-0,360 KG (PAT1387);PAT1387;8517.13.00;;0;0;0;0;0;SAMSUNG;A05S;0;0;Não;Não;08 - Ativo Imobilizado;Polegada: 6GB|128GB
Ativo;TALHA MANUAL BERG STEEL COMPACTA NT-8 - 4 M-14 KG (PAT1388);PAT1388;8425.19.10;;0;14;0;0;0;BERG STEEL;COMPACTA NT-8;365;0;Não;Não;08 - Ativo Imobilizado;Faixa de Medição: 1,5 Toneladas, Situação de uso: Necessita de teste de carga
Ativo;TALHA MANUAL BERG STEEL COMPACTA NT-8 - 1,5 TON 4 M - 14 KG (PAT1389);PAT1389;8425.19.10;;0;0;0;0;0;BERG STEEL;COMPACTA NT-8;0;0;Não;Não;08 - Ativo Imobilizado;Faixa de Medição: 1,5 Toneladas - 4 Metros, Data da Próxima Calibração: 17/10/2026, Situação de uso: Apto
Ativo;TALHA MANUAL BERG STEEL BS SUPER - 5TON 3 M - 30 KG (PAT1390);PAT1390;8425.19.10;;0;0;0;0;0;BERG STEEL;BS SUPER;0;0;Não;Não;08 - Ativo Imobilizado;Faixa de Medição: 5 Toneladas - 3 metros, Data da Próxima Calibração: 21/08/2026, Situação de uso: Apto
Ativo;TALHA MANUAL BERG STEEL BS SUPER - 5TON 1 M - 30 KG (PAT1391);PAT1391;8425.19.10;;0;0;0;0;0;BERG STEEL;BS SUPER;0;0;Não;Não;08 - Ativo Imobilizado;Faixa de Medição: 5 Toneladas - 1 Metro, Data da Próxima Calibração: 21/08/2026, Situação de uso: Apto
Ativo;LANTERNA ANTI EXPLOSAO PLASTCOR PLT -20ºC A +40ºC - 7,6X7,6X21,8CM - 0,4KG (PAT1392);PAT1392;8513.10.10;;0;0;0;0;0;PLASTCOR;PLT;0;0;Não;Não;08 - Ativo Imobilizado;Polegada: -20ºC a +40ºC
Ativo;LANTERNA ANTI EXPLOSAO PLASTCOR PLT -20ºC A +40ºC - 7,6X7,6X21,8CM - 0,4KG (PAT1393);PAT1393;8513.10.10;;0;0;0;0;0;PLASTCOR;PLT;0;0;Não;Não;08 - Ativo Imobilizado;Polegada: -20ºC a +40ºC
Ativo;DESINCRUSTADOR PNEUMATICO CHIAPERINI CH D-19 - 25,7CM X 18CM X 5,5CM - 2,47KG (PAT1394);PAT1394;8467.19.00;08.019.00;0;0;0;0;0;CHIAPERINI;NÃO INFORMADO;0;0;Não;Não;08 - Ativo Imobilizado;
Ativo;ESMERILHADEIRA/LIXADEIRA BOSCH GWS 12 125S 220V  - 26 X 10,4 X 10,4CM-1,6 KG (PAT1395);PAT1395;8467.29.99;;0;0;0;0;0;BOSCH;12-125S;0;0;Não;Não;08 - Ativo Imobilizado;Polegada: 220V
Ativo;CAIXA DE TRANSPORTE DE ROTORES (PAT1396);PAT1396;4202.19.00;;0;0;0;0;0;NÃO INFORMADO;NÃO INFORMADO;0;0;Não;Não;08 - Ativo Imobilizado;
Inativo;"CALIBRADOR DE ROSCA TAMPAO MESSEN 18 FIOS - NPT 3/8"" - 0,5KG (PAT1397)";PAT1397;9017.30.90;;0;0;0;0;0;MESSEN;18 FIOS;0;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 3/8"", Inc. Total (inc.+erro) (mm): Ver FR.QLD.018, Erro Máximo Permissível (mm): Ver FR.QLD.018, Erro/ Desvio (mm): Ver FR.QLD.018, Incerteza da Medição (mm): Ver FR.QLD.018"
Ativo;CINTA DE ELEVACAO C. CORRENTES SLING - 1 TON X 2M X 3CM - 0,5KG (PAT1398);PAT1398;6307.10.00;28.052.00;0;0;0;0;0;CASA DAS CORRENTES;SLING;0;0;Não;Não;08 - Ativo Imobilizado;
Inativo;CINTA DE ELEVACAO C. CORRENTES SLING - 1 TON X 2M X 3CM - 0,5KG (PAT1399);PAT1399;6307.10.00;;0;0;0;0;0;CASA DAS CORRENTES;SLING;0;0;Não;Não;08 - Ativo Imobilizado;
Ativo;CINTA DE ELEVACAO C. CORRENTES SLING - 1 TON X 2M X 3CM - 0,5KG (PAT1400);PAT1400;6307.10.00;;0;0;0;0;0;CASA DAS CORRENTES;SLING;0;0;Não;Não;08 - Ativo Imobilizado;
Ativo;CINTA DE ELEVACAO C. CORRENTES SLING - 1 TON X 2M X 3CM - 0,5KG (PAT1401);PAT1401;6307.10.00;;0;0;0;0;0;CASA DAS CORRENTES;SLING;0;0;Não;Não;08 - Ativo Imobilizado;
Ativo;CINTA DE ELEVACAO C. CORRENTES SLING - 1 TON X 2M X 3CM - 0,5KG (PAT1402);PAT1402;6307.10.00;;0;0;0;0;0;CASA DAS CORRENTES;SLING;0;0;Não;Não;08 - Ativo Imobilizado;
Inativo;CINTA DE ELEVACAO C. CORRENTES SLING - 1 TON X 2M X 3CM - 0,5KG (PAT1403);PAT1403;6307.10.00;;0;0;0;0;0;CASA DAS CORRENTES;SLING;0;0;Não;Não;08 - Ativo Imobilizado;
Ativo;CINTA DE ELEVACAO C. CORRENTES SLING - 1 TON X 2M X 3CM - 0,5KG (PAT1404);PAT1404;6307.10.00;;0;0;0;0;0;CASA DAS CORRENTES;SLING;0;0;Não;Não;08 - Ativo Imobilizado;
Ativo;CINTA DE ELEVACAO C. CORRENTES SLING - 1 TON X 2M X 3CM - 0,5KG (PAT1405);PAT1405;6307.10.00;;0;0;0;0;0;CASA DAS CORRENTES;SLING;0;0;Não;Não;08 - Ativo Imobilizado;
Inativo;CINTA DE ELEVACAO C. CORRENTES SLING - 1 TON X 2M X 3CM - 0,5KG (PAT1406);PAT1406;6307.10.00;;0;0;0;0;0;CASA DAS CORRENTES;SLING;0;0;Não;Não;08 - Ativo Imobilizado;
Inativo;CINTA DE ELEVACAO C. CORRENTES SLING - 1 TON X 2M X 3CM - 0,5KG (PAT1407);PAT1407;6307.10.00;;0;0;0;0;0;CASA DAS CORRENTES;SLING;0;0;Não;Não;08 - Ativo Imobilizado;
Inativo;CINTA DE ELEVACAO C. CORRENTES SLING - 2 TON X 2M X 6CM - 1KG (PAT1408);PAT1408;6307.10.00;28.052.00;0;0;0;0;0;CASA DAS CORRENTES;SLING;0;0;Não;Não;08 - Ativo Imobilizado;
Ativo;CINTA DE ELEVACAO C. CORRENTES SLING - 2 TON X 2M X 6CM - 1KG (PAT1409);PAT1409;6307.10.00;;0;0;0;0;0;CASA DAS CORRENTES;SLING;0;0;Não;Não;08 - Ativo Imobilizado;
Inativo;CINTA DE ELEVACAO C. CORRENTES SLING - 2 TON X 2M X 6CM - 1KG (PAT1410);PAT1410;6307.10.00;;0;0;0;0;0;CENTER CABOS;SLING;0;0;Não;Não;08 - Ativo Imobilizado;
Ativo;CINTA DE ELEVACAO C. CORRENTES SLING - 2 TON X 2M X 6CM - 1KG (PAT1411);PAT1411;6307.10.00;;0;0;0;0;0;CASA DAS CORRENTES;SLING;0;0;Não;Não;08 - Ativo Imobilizado;
Ativo;CINTA DE ELEVACAO C. CORRENTES SLING - 2 TON X 2M X 6CM - 1KG (PAT1412);PAT1412;6307.10.00;;0;0;0;0;0;CASA DAS CORRENTES;SLING;0;0;Não;Não;08 - Ativo Imobilizado;
